software_category,product_id,name,url,rating,reviews_count,description
Website Security,hostinger,Hostinger,https://www.capterra.com/p/218357/Hostinger,4.6,638,"Easy to use, fast and reliable web hosting services for everyone who wants to start their online journey. Learn more about Hostinger"
Website Security,cloudflare,Cloudflare,https://www.capterra.com/p/155191/Cloudflare,4.7,517,Cloudflare is a web performance and security company on a mission to build a better Internet. Learn more about Cloudflare
Website Security,datadog,Datadog,https://www.capterra.com/p/135453/Datadog-Cloud-Monitoring,4.6,358,"Gain full visibility into your applications and infrastructure with Datadog’s real-time monitoring, security, and analytics. Learn more about Datadog"
Website Security,malwarebytes_for_teams,Malwarebytes for Teams,https://www.capterra.com/p/229999/Malwarebytes-for-Teams,4.5,161,"Malwarebytes for Teams protects against malware, ransomware, viruses, hackers, and other established and emerging cyberthreats. Learn more about Malwarebytes for Teams"
Website Security,kount,Kount,https://www.capterra.com/p/226974/Kount,4.6,93,"Kount's Identity Trust Global Network delivers fraud prevention and personalized customer experiences for over 9,000 leading brands. Learn more about Kount"
Website Security,dnsfilter,DNSFilter,https://www.capterra.com/p/156036/DNSFilter,4.7,86,DNS-based threat protection & content filtering. Driven by realtime A.I. Built for MSPs and Enterprise. Learn more about DNSFilter
Website Security,geetest_captcha,GeeTest CAPTCHA,https://www.capterra.com/p/185974/GeeTest-CAPTCHA,4.8,76,"Protects your websites, mobile apps, and APIs from bad bot attacks with zero user friction. Learn more about GeeTest CAPTCHA"
Website Security,orca_security,Orca Security,https://www.capterra.com/p/188445/Orca-Security,4.8,60,"Comprehensive, AI-driven cloud security platform for AWS, Azure, GCP, and others, that’s easy to use and brings value from day one. Learn more about Orca Security"
Website Security,connectwise_siem,ConnectWise SIEM,https://www.capterra.com/p/214454/Perch-Security,4.6,52,ConnectWise SIEM helps MSPs detect threats and resolve security issues across client environments with its security management system. Learn more about ConnectWise SIEM
Website Security,beagle_security,Beagle Security,https://www.capterra.com/p/198609/Beagle-Security,4.9,51,Web application penetration testing tool that helps you to identify vulnerabilities on your website before hackers exploit them. Learn more about Beagle Security
Website Security,zscaler,Zscaler,https://www.capterra.com/p/175516/Zscaler-Internet-Access,4.3,48,"Zscaler’s cloud-based platform protects websites with real-time threat detection, blocking malware and phishing to secure users & data. Learn more about Zscaler"
Website Security,acunetix,Acunetix,https://www.capterra.com/p/171379/Acunetix,4.4,35,"Acunetix is web app and API security software that automates testing, finds vulnerabilities, and integrates into development. Learn more about Acunetix"
Website Security,nordlayer,NordLayer,https://www.capterra.com/p/203059/NordLayer,4.6,34,Designed to adapt — secure network access solutions tailored to evolving business needs. Learn more about NordLayer
Website Security,sense_defence_ai,Sense Defence AI,https://www.capterra.com/p/10002920/Sense-Defence-AI,4.9,32,Web application firewall (WAF) that lets users defend business APIs or high-end web applications against bots and common web exploits. Learn more about Sense Defence AI
Website Security,eset_home_office_security_pack,ESET Home Office Security Pack,https://www.capterra.com/p/253681/ESET-Home-Office-Security-Pack,4.8,32,Protect your equipment from digital threats. Complete security for small and medium businesses. Learn more about ESET Home Office Security Pack
Website Security,dark_web_id,Dark Web ID,https://www.capterra.com/p/188259/Dark-Web-ID,3.7,30,Dark Web ID monitors the dark web and instantly alerts you when compromised business or personal credentials are found. Learn more about Dark Web ID
Website Security,wordfence,Wordfence,https://www.capterra.com/p/207389/Wordfence,4.9,28,"Endpoint protection platform that helps IT professionals protect WordPress websites from targeted attacks, malware, and other threats. Learn more about Wordfence"
Website Security,kinsta,Kinsta,https://www.capterra.com/p/234135/Kinsta,4.8,27,"Next-gen hosting infrastructure for WordPress sites. 5-star reviews for speed, security, and support. Learn more about Kinsta"
